Name,base_happiness,capture_rate,forms_switchable,gender_rate,has_gender_differences,hatch_counter,is_baby,is_legendary,is_mythical
bulbasaur,50.0,45,False,1,False,20.0,False,False,False
ivysaur,50.0,45,False,1,False,20.0,False,False,False
venusaur,50.0,45,True,1,True,20.0,False,False,False
charmander,50.0,45,False,1,False,20.0,False,False,False
charmeleon,50.0,45,False,1,False,20.0,False,False,False
charizard,50.0,45,True,1,False,20.0,False,False,False
squirtle,50.0,45,False,1,False,20.0,False,False,False
wartortle,50.0,45,False,1,False,20.0,False,False,False
blastoise,50.0,45,True,1,False,20.0,False,False,False
caterpie,50.0,255,False,4,False,15.0,False,False,False
metapod,50.0,120,False,4,False,15.0,False,False,False
butterfree,50.0,45,False,4,True,15.0,False,False,False
weedle,70.0,255,False,4,False,15.0,False,False,False
kakuna,70.0,120,False,4,False,15.0,False,False,False
beedrill,70.0,45,True,4,False,15.0,False,False,False
pidgey,70.0,255,False,4,False,15.0,False,False,False
pidgeotto,70.0,120,False,4,False,15.0,False,False,False
pidgeot,70.0,45,True,4,False,15.0,False,False,False
rattata,70.0,255,False,4,True,15.0,False,False,False
raticate,70.0,127,False,4,True,15.0,False,False,False
spearow,70.0,255,False,4,False,15.0,False,False,False
fearow,70.0,90,False,4,False,15.0,False,False,False
ekans,70.0,255,False,4,False,20.0,False,False,False
arbok,70.0,90,False,4,False,20.0,False,False,False
pikachu,50.0,190,False,4,True,10.0,False,False,False
raichu,50.0,75,False,4,True,10.0,False,False,False
sandshrew,50.0,255,False,4,False,20.0,False,False,False
sandslash,50.0,90,False,4,False,20.0,False,False,False
nidoran-f,50.0,235,False,8,False,20.0,False,False,False
nidorina,50.0,120,False,8,False,20.0,False,False,False
nidoqueen,50.0,45,False,8,False,20.0,False,False,False
nidoran-m,50.0,235,False,0,False,20.0,False,False,False
nidorino,50.0,120,False,0,False,20.0,False,False,False
nidoking,50.0,45,False,0,False,20.0,False,False,False
clefairy,140.0,150,False,6,False,10.0,False,False,False
clefable,140.0,25,False,6,False,10.0,False,False,False
vulpix,50.0,190,False,6,False,20.0,False,False,False
ninetales,50.0,75,False,6,False,20.0,False,False,False
jigglypuff,50.0,170,False,6,False,10.0,False,False,False
wigglytuff,50.0,50,False,6,False,10.0,False,False,False
zubat,50.0,255,False,4,True,15.0,False,False,False
golbat,50.0,90,False,4,True,15.0,False,False,False
oddish,50.0,255,False,4,False,20.0,False,False,False
